epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.503,1.75798,3.68966,1.82498,0.92368,0.125,0.28003,0.1422,1.37963,3.68011,1.68291,0.000252265,0.000252265,0.000252265
2,394.637,1.74779,2.99098,1.83206,0.22993,0.50833,0.38231,0.16498,1.66023,2.86335,1.78163,0.000491814,0.000491814,0.000491814
3,534.457,1.71974,2.75526,1.84381,0.28556,0.45579,0.31484,0.1365,1.51275,2.92584,1.7614,0.000714446,0.000714446,0.000714446
4,676.653,1.68247,2.62644,1.8162,0.3666,0.56756,0.45733,0.23888,1.53075,2.35835,1.69323,0.000692869,0.000692869,0.000692869
5,815.418,1.6713,2.56283,1.79752,0.48566,0.53333,0.52808,0.24231,1.47519,2.49904,1.63298,0.000667492,0.000667492,0.000667492
6,967.925,1.62249,2.47248,1.7644,0.58883,0.66605,0.45849,0.29465,1.13606,1.8826,1.39077,0.000642115,0.000642115,0.000642115
7,1132.47,1.59233,2.41702,1.71345,0.51359,0.81539,0.62405,0.35744,1.33175,2.00258,1.47056,0.000616738,0.000616738,0.000616738
8,1310.51,1.59101,2.38795,1.73625,0.51178,0.64232,0.56128,0.38131,1.12204,1.81,1.3843,0.000591361,0.000591361,0.000591361
9,1459.9,1.54908,2.36125,1.71685,0.52669,0.71302,0.56966,0.38639,1.24681,2.02869,1.4891,0.000565984,0.000565984,0.000565984
10,1605.08,1.49513,2.25761,1.65702,0.59644,0.71005,0.7368,0.48649,1.12622,1.63712,1.37026,0.000540607,0.000540607,0.000540607
11,1746.63,1.50061,2.27413,1.66835,0.51125,0.76711,0.83066,0.54646,1.17769,1.56802,1.38684,0.00051523,0.00051523,0.00051523
12,1886.25,1.49805,2.18602,1.63434,0.72988,0.5497,0.73725,0.53944,0.98816,1.64287,1.23475,0.000489853,0.000489853,0.000489853
13,2024.11,1.47696,2.1338,1.62393,0.75633,0.60833,0.78246,0.56556,1.08569,1.46005,1.31728,0.000464476,0.000464476,0.000464476
14,2162.08,1.47219,2.12904,1.64063,0.61437,0.82604,0.84165,0.59417,1.02056,1.34956,1.2351,0.000439099,0.000439099,0.000439099
15,2299.44,1.45774,2.1042,1.62971,0.90533,0.80724,0.85872,0.66585,0.97676,1.24934,1.21155,0.000413722,0.000413722,0.000413722
16,2449.75,1.41777,2.02595,1.59596,0.67816,0.77211,0.80666,0.57858,1.0198,1.25721,1.24477,0.000388345,0.000388345,0.000388345
17,2608.01,1.42146,2.01035,1.59882,0.73734,0.82083,0.84141,0.63951,0.98096,1.20662,1.23078,0.000362968,0.000362968,0.000362968
18,2764.05,1.39776,1.97951,1.57428,0.51345,0.675,0.70537,0.53406,1.02077,1.22185,1.22309,0.000337591,0.000337591,0.000337591
19,2911.51,1.38525,1.94319,1.57054,0.64113,0.81594,0.81069,0.63591,0.89818,1.12373,1.16915,0.000312214,0.000312214,0.000312214
20,3055.56,1.35811,1.91475,1.56135,0.92347,0.79539,0.86498,0.70165,0.8715,1.04768,1.12868,0.000286837,0.000286837,0.000286837
21,3194.49,1.35451,1.82764,1.60867,0.8645,0.66541,0.8267,0.64429,0.84673,1.12937,1.11693,0.00026146,0.00026146,0.00026146
22,3332.84,1.29742,1.68007,1.57775,0.71199,0.83292,0.77678,0.60393,0.87643,1.10735,1.13377,0.000236083,0.000236083,0.000236083
23,3469.33,1.29991,1.64917,1.58847,0.84641,0.86392,0.86267,0.68789,0.79908,1.0104,1.10348,0.000210706,0.000210706,0.000210706
24,3620.38,1.24234,1.59442,1.5432,0.84536,0.81259,0.85234,0.68505,0.78233,0.98352,1.09265,0.000185329,0.000185329,0.000185329
25,3790.12,1.21151,1.53613,1.52502,0.81173,0.875,0.86553,0.69696,0.77355,0.99741,1.07833,0.000159952,0.000159952,0.000159952
26,3953.48,1.21191,1.47616,1.50742,0.80872,0.84167,0.85899,0.70149,0.76923,1.02196,1.06143,0.000134575,0.000134575,0.000134575
27,4107.34,1.19638,1.4708,1.50481,0.80475,0.86477,0.84575,0.70487,0.75078,0.95729,1.04504,0.000109198,0.000109198,0.000109198
28,4257.2,1.16976,1.41156,1.47412,0.84521,0.875,0.8498,0.70017,0.76103,0.97136,1.04537,8.3821e-05,8.3821e-05,8.3821e-05
29,4403.15,1.17643,1.40198,1.48334,0.83601,0.84113,0.8639,0.72752,0.73476,0.92352,1.03482,5.8444e-05,5.8444e-05,5.8444e-05
30,4542.91,1.14182,1.38644,1.45783,0.84048,0.85424,0.86625,0.73381,0.72753,0.9074,1.0259,3.3067e-05,3.3067e-05,3.3067e-05
